,id,host_id,district,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
201,762427,1591140,North End,Mount Pleasant West,43.70541,-79.39508,Entire home/apt,76,5,43,2019-08-28,0.51,2,234,2019,8,28
203,771141,4068231,Downtown Core,Moss Park,43.65649,-79.3715,Entire home/apt,76,28,24,2019-08-31,0.3,3,251,2019,8,31
204,775965,1581404,West End,Roncesvalles,43.65394,-79.44922,Entire home/apt,95,14,3,2019-09-01,0.08,1,0,2019,9,1
205,776320,4094364,West End,Palmerston-Little Italy,43.66237,-79.41412,Entire home/apt,150,5,57,2019-10-13,1.82,2,48,2019,10,13
206,777132,1664833,North York,Don Valley Village,43.77563,-79.34923,Private room,68,1,70,2019-10-06,0.84,1,355,2019,10,6
207,778990,1919294,Downtown Core,Waterfront Communities-The Island,43.64046,-79.39496,Entire home/apt,148,5,9,2019-04-07,0.17,82,125,2019,4,7
210,783951,588352,Downtown Core,Waterfront Communities-The Island,43.64289,-79.39922,Entire home/apt,150,21,13,2019-10-16,0.16,1,89,2019,10,16
212,787074,258360,West End,Junction Area,43.666,-79.46477,Entire home/apt,114,360,61,2018-08-07,0.72,2,342,2018,8,7
214,789266,3921786,West End,Junction Area,43.66528,-79.47276,Entire home/apt,125,2,67,2019-12-02,2.84,1,169,2019,12,2
215,790590,1919294,Downtown Core,Waterfront Communities-The Island,43.64044,-79.39541,Entire home/apt,148,10,13,2018-05-22,0.18,82,79,2018,5,22
216,790887,2056128,East End,Bay Street Corridor,43.66455,-79.38533,Private room,115,1,186,2019-12-04,2.36,2,341,2019,12,4
218,791485,4169949,East End,Blake-Jones,43.67421,-79.3418,Private room,64,1,75,2019-10-21,1.31,1,335,2019,10,21
219,794506,4186011,Downtown Core,Waterfront Communities-The Island,43.63989,-79.39035,Entire home/apt,150,3,36,2019-09-16,0.53,1,10,2019,9,16
220,796501,4195876,North End,Casa Loma,43.68249,-79.4046,Private room,159,1,88,2019-11-23,1.16,2,0,2019,11,23
221,799800,1786233,Etobicoke,Thistletown-Beaumond Heights,43.7366,-79.57367,Private room,30,2,23,2017-10-01,0.27,2,326,2017,10,1
222,812922,3431521,West End,Roncesvalles,43.64142,-79.43952,Private room,45,2,52,2017-11-04,0.66,2,0,2017,11,4
223,815663,1301725,Downtown Core,Waterfront Communities-The Island,43.64633,-79.39261,Entire home/apt,140,3,36,2019-07-20,0.47,2,24,2019,7,20
224,818228,4297691,West End,Dovercourt-Wallace Emerson-Junction,43.65854,-79.44323,Private room,45,1,305,2019-11-23,3.96,3,352,2019,11,23
