id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.64296,-79.40451,Private room,54,91,24,2018-11-11,0.59,1,179
62545,Furnished Heritage Rooms Downtown 1,304551,Kintoo,,Niagara,43.6458,-79.40769,Private room,65,60,22,2019-08-30,0.20,4,236
64003,Downtown Toronto 4BR Townhouse,312769,Jerome,,Moss Park,43.65955,-79.36701,Entire home/apt,350,3,103,2019-12-02,0.95,2,11
64641,Furnished Heritage Rooms Downtown,304551,Kintoo,,Niagara,43.6444,-79.40829,Private room,65,30,16,2019-08-04,0.15,4,311
65238,Zen South Facing Bedroom in Quiet Art-Filled Home,318911,Magali,,Palmerston-Little Italy,43.65853,-79.42709,Private room,56,2,65,2019-11-13,0.62,2,345
69464,Yonge & Bloor one bedroom Condo,195095,Urbano,,Rosedale-Moore Park,43.67094,-79.38581,Entire home/apt,121,1,46,2019-11-26,0.43,12,0
75051,"GreatSpace,Backyard, 5min to Subway",368707,Sandra,,Dufferin Grove,43.65956,-79.43228,Entire home/apt,144,5,272,2018-08-04,2.56,2,220
82694,Luxury Hotel Downtown Living !!,431260,Caterina,,Niagara,43.64171,-79.40469,Entire home/apt,107,30,29,2016-09-23,0.28,1,362
84076,A short walk to TIFF,544254,Darryl,,Niagara,43.64457,-79.40451,Entire home/apt,144,3,6,2018-08-20,0.08,1,0
89575,Private bedroom close to downtown,93825,Yohan & Sarah,,Briar Hill-Belgravia,43.69662,-79.45325,Private room,62,1,88,2019-10-24,0.90,2,12
96336,John & Bren's Queen West 3 bedroom townhouse,511506,John,,Niagara,43.64458,-79.41022,Entire home/apt,239,3,121,2019-12-02,1.63,1,151
104096,Hip and modern family-friendly home,349172,Avery,,South Riverdale,43.66527,-79.32934,Entire home/apt,175,5,18,2019-08-03,0.18,1,125
104722,Annex apartment - with great deck!,455397,Carly,,Annex,43.67175,-79.40398,Entire home/apt,160,2,6,2018-10-08,0.12,1,0
112842,Gorgeous Condo near High Park!!,575127,Micheline,,High Park North,43.65623,-79.46667,Entire home/apt,64,180,12,2017-03-05,0.12,1,344
113175,Best luxury location in downtown Toronto!,576192,Faria,,Waterfront Communities-The Island,43.64123,-79.39339,Entire home/apt,105,28,34,2019-09-30,0.33,1,294
119441,STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,174063,Denis,,South Parkdale,43.63559,-79.44048,Entire home/apt,125,28,78,2019-10-05,0.75,3,364
122492,Sunny & Stylish Aprtmnt w easy access to dwntwn,613837,Brett,,Danforth East York,43.68872,-79.3299,Entire home/apt,89,5,107,2019-08-30,1.33,1,220
127380,"pleasant apt, centrally located",630920,Peggy,,Yonge-Eglinton,43.7037,-79.4082,Private room,60,1,142,2019-10-31,1.42,1,361
131401,WATERFRONT LUXURY SUITE - DOWNTOWN,604233,WaterfrontExecSuites,,Niagara,43.63633,-79.40076,Entire home/apt,68,25,5,2019-01-30,0.09,1,310
137099,Beautiful 3 Bedroom Home in Little Italy!,149566,Vinita + Joe,,Palmerston-Little Italy,43.65781,-79.42065,Entire home/apt,350,5,10,2017-08-12,0.10,2,220
138613,Warm Family Home Downtown Toronto,676621,Jodi,,Little Portugal,43.64776,-79.42709,Entire home/apt,180,3,5,2016-10-07,0.05,1,0
